chipher,specialty
КАМО,15.04.04
КБМО,12.04.04
КВМО,09.04.01
КММО,01.04.02
КРМО,15.04.06
КСМО,27.04.03
КУМО,27.04.04
КФМО,
КАБО,15.03.04
КББО,12.03.04
КВБО,09.03.01
ККСО,10.05.01
КТСО,10.05.02
КУБО,27.03.04
КМБО,01.03.02
КРБО,15.03.06
КСБО,27.03.03
КФБО,03.03.02
ИВМО,09.04.01
ИКМО,09.04.04
ИНМО,09.04.03
ИММО,01.04.04
ИАБО,15.03.04
ИВБО,09.03.01
ИКБО,09.03.04
ИМБО,01.03.04
ИНБО,09.03.03
БСМО,09.04.02
ББМО,10.04.01
БПМО,12.04.01
БФМО,02.04.02
БФБО,02.03.02
БИСО,10.05.04
БАСО,10.05.03
БСБО,09.03.02
БПБО,12.03.01
БЭСО,38.05.01
БББО,10.03.01
БОСО,40.05.01
ББСО,10.05.05
ЭСМО,27.04.01
ЭЭМО,11.04.04
ЭНМО,27.04.01
ЭФМО,09.04.02
ЭПМО,09.04.02
ЭОМО,12.04.02
ЭЛБО,12.03.05
ЭНБО,28.03.01
ЭОСО,12.05.01
ЭСБО,27.03.01
ЭФБО,09.03.02
ЭЭБО,11.03.04
ТДМО,54.04.01
ТКМО,09.04.01
ТЛМО,22.04.01
ТОМО,12.04.02
ТХМО,29.04.04
ТШМО,15.04.01
ТДБО,54.03.01
ТКБО,09.03.02
ТЛБО,22.03.01
ТХБО,29.03.04
ТШБО,15.03.01
ТСБО,27.03.01
ТОБО,12.03.02
РРМО,11.04.01
РИМО,11.04.02
РКМО,11.04.03
РГМО,
РГБО,05.03.03
РИБО,11.03.02
РКБО,11.03.03
РРБО,11.03.01
РСБО,09.03.02
РССО,11.05.01
ХЕМО,18.04.01
ХХМО,04.04.01
ХБМО,19.04.01
ХТМО,20.04.01
ХФМО,
ХББО,19.03.01
ХЕБО,18.03.01
ХТБО,20.03.01
ХХБО,04.03.01
УИМО,38.04.05
УСМО,01.04.05
УДМО,46.04.02
УКМО,27.04.02
УММО,38.04.02
УУМО,38.04.04
УЭМО,38.04.01
УЮМО,
УПМО,38.04.03
УОМО,27.04.06
УУМВ,38.04.04
УЭМВ,38.04.01
УДБО,46.03.02
УИБО,38.03.05
УСБО,01.03.05
УЭБО,38.03.01
УМБО,38.03.02
УНБО,27.03.05
УПБО,38.03.03
УУБО,38.03.04
УКБО,27.03.02
УХБО,38.03.10
УЮБО,40.03.01
ГДБО,46.03.02
ГИБО,38.03.05
ГМБО,38.03.02
ГСБО,01.03.05
ГУБО,38.03.04
ГЭБО,38.03.01
ЩАКО,09.02.06
ЩПКО,09.02.07
ЩТКО,10.02.04
ЩСКО,11.02.15
ЩОКО,12.02.09
ЩИКО,10.02.05